authors,doi,link,type,model,test,methods,significance,reads,posts,score,public,scientists,communicators,physicians,citations,date_published,date_extracted,date_difference
"A. Golshan, P. Hayatdavoudi, M. A. Hadjzadeh, A. Khajavi Rad, N. Mohamadian Roshan, A. Abbasnezhad, S. M. Mousavi, R. Pakdel, B. Zarei and A. Aghaee",10.22038/AJP.2016.7844,https://www.ncbi.nlm.nih.gov/pubmed/28348973,intervention,rodents,kruskal,error,significant,,,,,,,,6,3/31/17,4/30/18,395
"A. Gucalp, N. M. Iyengar, X. K. Zhou, D. D. Giri, D. J. Falcone, H. Wang, S. Williams, M. D. Krasne, I. Yaghnam, B. Kunzel, P. G. Morris, L. W. Jones, M. Pollak, V. P. Laudone, C. A. Hudis, H. I. Scher, P. T. Scardino, J. A. Eastham and A. J. Dannenberg",10.1038/pcan.2017.31,https://www.ncbi.nlm.nih.gov/pubmed/28653675,observational,humans,whitney,correct,significant,10,14,5.95,7,2,1,1,3,6/27/17,4/30/18,307
"A. Lacoste Jeanson, J. Dupej, C. Villa and J. Bruzek",10.7717/peerj.3302,https://www.ncbi.nlm.nih.gov/pubmed/28533960,observational,humans,signed,ambiguous,significant,12,2,0.75,,,1,,2,5/18/17,4/30/18,347
"A. Mohammad, E. De Lucia Rolfe, A. Sleigh, T. Kivisild, K. Behbehani, N. J. Wareham, S. Brage and T. Mohammad",10.1038/nutd.2016.38,https://www.ncbi.nlm.nih.gov/pubmed/28067890,observational,humans,kruskal,nolink,mixed,15,1,0.5,1,,,,3,1/9/17,4/30/18,476
"A. O. Attah, T. Braaten and G. Skeie",10.1371/journal.pone.0179441,https://www.ncbi.nlm.nih.gov/pubmed/28598991,observational,humans,kruskal,nolink,mixed,2,1,0.5,,,,1,0,6/9/17,4/30/18,325
"A. Quesada, A. B. Segarra, S. Montoro-Molina, M. D. de Gracia, A. Osuna, F. O'Valle, M. Gomez-Guzman, F. Vargas and R. Wangensteen",10.1371/journal.pone.0175462,https://www.ncbi.nlm.nih.gov/pubmed/28399178,intervention,rodents,whitney,nolink,significant,5,2,0.75,2,,,,0,4/11/17,4/30/18,384
"A. V. Gadducci, R. de Cleva, G. C. de Faria Santarem, P. R. S. Silva, J. M. D. Greve and M. A. Santo",10.6061/clinics/2017(05)03,https://www.ncbi.nlm.nih.gov/pubmed/28591338,observational,humans,whitney,correct,mixed,3,1,0.25,1,,,,0,5/1/17,4/30/18,364
"C. Alvarez, R. Ramirez-Campillo, R. Ramirez-Velez and M. Izquierdo",10.3389/fphys.2017.00444,https://www.ncbi.nlm.nih.gov/pubmed/28706490,intervention,humans,signed,ambiguous,mixed,38,30,17.55,12,12,1,2,3,6/29/17,4/30/18,305
"C. Alvarez, R. Ramirez-Campillo, R. Ramirez-Velez and M. Izquierdo",10.3389/fphys.2017.00479,https://www.ncbi.nlm.nih.gov/pubmed/28729841,intervention,humans,signed,ambiguous,significant,39,67,157.956,22,7,1,3,3,7/6/17,4/30/18,298
"C. Bastos da Cunha, F. Sicuro, P. A. Maranhao, M. A. Borges, F. Z. Cyrino, F. M. Gazolla, I. R. Madeira, M. A. N. Bordallo, E. Bouskela and L. G. Kraemer-Aguiar",10.1210/js.2017-00130,https://www.ncbi.nlm.nih.gov/pubmed/29264541,observational,humans,kruskal,ambiguous,mixed,,,,,,,,0,6/9/17,4/30/18,325
"C. Rossetti, D. Sciarra, J. M. Petit, C. B. Eap, O. Halfon, P. J. Magistretti, B. Boutrel and J. R. Cardinaux",10.1038/s41398-017-0023-4,https://www.ncbi.nlm.nih.gov/pubmed/29217834,observational,rodents,whitney,nolink,mixed,7,2,0.5,2,,,,1,12/8/17,4/30/18,143
"D. Arriscado, E. Knox, M. Zabala, F. Zurita-Ortega, J. M. Dalmau and J. J. Muros",10.1007/s10389-017-0823-2,https://www.ncbi.nlm.nih.gov/pubmed/29177127,observational,humans,whitney,nolink,significant,11,2,1,2,,,,0,8/14/17,4/30/18,259
"D. Herzig, P. Eser, T. Radtke, A. Wenger, T. Rusterholz, M. Wilhelm, P. Achermann, A. Arhab, O. G. Jenni, T. H. Kakebeeke, C. S. Leeger-Aschmann, N. Messerli-Burgy, A. H. Meyer, S. Munsch, J. J. Puder, E. A. Schmutz, K. Stulb, A. E. Zysset and S. Kriemler",10.3389/fphys.2017.00109,https://www.ncbi.nlm.nih.gov/pubmed/28286485,observational,humans,kruskal,ambiguous,mixed,22,4,1.75,2,1,1,,1,2/24/17,4/30/18,430
"I. Schlecht, W. Gronwald, G. Behrens, S. E. Baumeister, J. Hertel, J. Hochrein, H. U. Zacharias, B. Fischer, P. J. Oefner and M. F. Leitzmann",10.1371/journal.pone.0175133,https://www.ncbi.nlm.nih.gov/pubmed/28403191,observational,humans,kruskal,ambiguous,mixed,9,3,1.25,2,,,,1,4/12/17,4/30/18,383
"J. Kocot, P. Dziemidok, M. Kielczykowska, A. Hordyjewska, G. Szczesniak and I. Musik",10.12659/MSM.904318,https://www.ncbi.nlm.nih.gov/pubmed/29049270,observational,humans,kruskal,error,significant,,,,,,,,2,10/19/17,4/30/18,193
"J. Kocot, P. Dziemidok, M. Kielczykowska, J. Kurzepa, G. Szczesniak and I. Musik",10.3390/ijerph15010019,https://www.ncbi.nlm.nih.gov/pubmed/29295491,observational,humans,kruskal,error,not,5,1,0.5,1,,,,0,12/23/17,4/30/18,128
"J. L. Hollis, S. R. Crozier, H. M. Inskip, C. Cooper, K. M. Godfrey, N. C. Harvey, C. E. Collins and S. M. Robinson",10.1038/ijo.2017.78,https://www.ncbi.nlm.nih.gov/pubmed/28337028,observational,humans,whitney,nolink,mixed,1,12,22.6,1,3,,5,2,3/24/17,4/30/18,402
"K. A. Lytle, C. P. Wong and D. B. Jump",10.1371/journal.pone.0173376,https://www.ncbi.nlm.nih.gov/pubmed/28422962,intervention,rodents,nonparametric,error,mixed,19,27,125.05,4,3,,3,7,4/19/17,4/30/18,376
"K. A. Philbrick, C. P. Wong, A. J. Branscum, R. T. Turner and U. T. Iwaniec",10.1530/JOE-16-0484,https://www.ncbi.nlm.nih.gov/pubmed/28057869,intervention,rodents,kruskal,correct,significant,8,3,1.5,2,,1,,8,1/5/17,4/30/18,480
"K. E. Boyle, Z. W. Patinkin, A. L. B. Shapiro, C. Bader, L. Vanderlinden, K. Kechris, R. C. Janssen, R. J. Ford, B. K. Smith, G. R. Steinberg, E. J. Davidson, I. V. Yang, D. Dabelea and J. E. Friedman",10.1016/j.molmet.2017.08.012,https://www.ncbi.nlm.nih.gov/pubmed/29107296,observational,humans,whitney,ambiguous,mixed,5,12,7.05,8,3,,1,2,9/1/17,4/30/18,241
"L. B. VanWagner, J. G. Terry, L. S. Chow, A. C. Alman, H. Kang, K. H. Ingram, C. Shay, C. E. Lewis, R. N. Bryan, L. J. Launer and J. Jeffrey Carr",10.1002/oby.21767,https://www.ncbi.nlm.nih.gov/pubmed/28169509,observational,humans,whitney,ambiguous,significant,4,8,4.7,5,2,,,3,2/7/17,4/30/18,447
"L. D. Clamp, D. J. Hume, E. V. Lambert and J. Kroff",10.1038/nutd.2017.31,https://www.ncbi.nlm.nih.gov/pubmed/28628125,intervention,humans,kruskal,nolink,mixed,20,6,3,2,,,2,0,6/19/17,4/30/18,315
"L. Moir, E. G. Bochukova, R. Dumbell, G. Banks, R. S. Bains, P. M. Nolan, C. Scudamore, M. Simon, K. A. Watson, J. Keogh, E. Henning, A. Hendricks, S. O'Rahilly, I. Barroso, U. K. consortium, A. E. Sullivan, D. C. Bersten, M. L. Whitelaw, S. Kirsch, E. Bentley, I. S. Farooqi and R. D. Cox",10.1016/j.molmet.2017.08.006,https://www.ncbi.nlm.nih.gov/pubmed/29107289,observational,rodents,whitney,nolink,significant,22,23,13.95,9,6,1,2,0,8/24/17,4/30/18,249
"L. Mokros, W. Kuczynski, L. Franczak and P. Bialasiewicz",10.5664/jcsm.6664,https://www.ncbi.nlm.nih.gov/pubmed/28502282,observational,humans,kruskal,ambiguous,mixed,,,,,,,,1,7/15/17,4/30/18,289
"L. N. Tu, M. R. Showalter, T. Cajka, S. Fan, V. V. Pillai, O. Fiehn and V. Selvaraj",10.1038/s41598-017-05040-6,https://www.ncbi.nlm.nih.gov/pubmed/28733574,intervention,rodents,whitney,error,significant,,,,,,,,1,7/21/17,4/30/18,283
"L. Stefan, M. Cule, I. Milinovic, D. Juranko and G. Sporis",10.3390/ijerph14080893,https://www.ncbi.nlm.nih.gov/pubmed/28786940,observational,humans,whitney,ambiguous,mixed,,,,,,,,0,8/8/17,4/30/18,265
"M. Bahls, S. Gross, T. Ittermann, R. Busch, S. Glaser, R. Ewert, H. Volzke, S. B. Felix and M. Dorr",10.1371/journal.pone.0179534,https://www.ncbi.nlm.nih.gov/pubmed/28617869,observational,humans,whitney,ambiguous,mixed,18,1,0.25,,,,,0,6/15/17,4/30/18,319
"M. Hennig, S. Fiedler, C. Jux, L. Thierfelder and J. D. Drenckhahn",10.1161/JAHA.117.005506,https://www.ncbi.nlm.nih.gov/pubmed/28778941,intervention,rodents,kruskal,error,mixed,6,11,5.45,6,1,3,1,2,8/4/17,4/30/18,269
"M. Paquette, A. S. Medina Larque, S. J. Weisnagel, Y. Desjardins, J. Marois, G. Pilon, S. Dudonne, A. Marette and H. Jacques",10.1017/S0007114517000393,https://www.ncbi.nlm.nih.gov/pubmed/28290272,intervention,humans,whitney,correct,significant,48,203,161.05,94,9,2,30,7,3/14/17,4/30/18,412
"N. H. Pedersen, J. Tarp, L. B. Andersen, A. K. Gejl, T. Huang, L. Peijs and A. Bugge",10.1371/journal.pone.0186384,https://www.ncbi.nlm.nih.gov/pubmed/29028824,observational,humans,whitney,ambiguous,significant,,,,,,,,1,10/13/17,4/30/18,199
"N. Kitao, H. Miyoshi, T. Furumoto, K. Ono, H. Nomoto, A. Miya, C. Yamamoto, A. Inoue, K. Tsuchida, N. Manda, Y. Kurihara, S. Aoki, A. Nakamura, T. Atsumi and S. S. Group",10.1186/s12933-017-0607-6,https://www.ncbi.nlm.nih.gov/pubmed/29017497,intervention,humans,whitney,nolink,significant,6,4,2.2,4,,,,0,10/10/17,4/30/18,202
"P. E. Wischmeyer, M. Hasselmann, C. Kummerlen, R. Kozar, D. J. Kutsogiannis, C. J. Karvellas, B. Besecker, D. K. Evans, J. C. Preiser, L. Gramlich, K. Jeejeebhoy, R. Dhaliwal, X. Jiang, A. G. Day and D. K. Heyland",10.1186/s13054-017-1736-8,https://www.ncbi.nlm.nih.gov/pubmed/28599676,intervention,humans,whitney,nolink,mixed,39,102,45.5,31,12,5,26,8,6/9/17,4/30/18,325
