authors,doi,link,type,model,test,methods,significance,reads,posts,score,public,scientists,communicators,physicians,citations,date_published,date_extracted,date_difference,registered,preregistered,statistics,outcome,data_available,code
"A. Golshan, P. Hayatdavoudi, M. A. Hadjzadeh, A. Khajavi Rad, N. Mohamadian Roshan, A. Abbasnezhad, S. M. Mousavi, R. Pakdel, B. Zarei and A. Aghaee",10.22038/AJP.2016.7844,https://www.ncbi.nlm.nih.gov/pubmed/28348973,intervention,rodents,kruskal,error,significant,,,,,,,,5,3/31/17,2/26/19,697,no,no,no,no,no ,no
"A. Gucalp, N. M. Iyengar, X. K. Zhou, D. D. Giri, D. J. Falcone, H. Wang, S. Williams, M. D. Krasne, I. Yaghnam, B. Kunzel, P. G. Morris, L. W. Jones, M. Pollak, V. P. Laudone, C. A. Hudis, H. I. Scher, P. T. Scardino, J. A. Eastham and A. J. Dannenberg",10.1038/pcan.2017.31,https://www.ncbi.nlm.nih.gov/pubmed/28653675,observational,humans,whitney,correct,significant,19,14,5.95,7,2,1,1,7,6/27/17,2/26/19,609,no,no,no,no,no ,no
"A. Lacoste Jeanson, J. Dupej, C. Villa and J. Bruzek",10.7717/peerj.3302,https://www.ncbi.nlm.nih.gov/pubmed/28533960,observational,humans,signed,ambiguous,significant,20,2,0.75,1,,,,5,5/18/17,2/26/19,649,no ,no,no,no,yes,yes
"A. Mohammad, E. De Lucia Rolfe, A. Sleigh, T. Kivisild, K. Behbehani, N. J. Wareham, S. Brage and T. Mohammad",10.1038/nutd.2016.38,https://www.ncbi.nlm.nih.gov/pubmed/28067890,observational,humans,kruskal,nolink,mixed,14,1,0.5,1,,,,6,1/9/17,2/26/19,778,no,no,no,no,no ,no
"A. O. Attah, T. Braaten and G. Skeie",10.1371/journal.pone.0179441,https://www.ncbi.nlm.nih.gov/pubmed/28598991,observational,humans,kruskal,nolink,mixed,7,1,0.5,,,,1,1,6/9/17,2/26/19,627,no,no,no,no,request,no
"A. Quesada, A. B. Segarra, S. Montoro-Molina, M. D. de Gracia, A. Osuna, F. O'Valle, M. Gomez-Guzman, F. Vargas and R. Wangensteen",10.1371/journal.pone.0175462,https://www.ncbi.nlm.nih.gov/pubmed/28399178,intervention,rodents,whitney,nolink,significant,6,1,0.5,1,,,,2,4/11/17,2/26/19,686,no,no,no,no,yes ,no
"A. V. Gadducci, R. de Cleva, G. C. de Faria Santarem, P. R. S. Silva, J. M. D. Greve and M. A. Santo",10.6061/clinics/2017(05)03,https://www.ncbi.nlm.nih.gov/pubmed/28591338,observational,humans,whitney,correct,mixed,23,1,0.25,1,,,,1,5/1/17,2/26/19,666,no,no,no,no,no ,no
"C. Alvarez, R. Ramirez-Campillo, R. Ramirez-Velez and M. Izquierdo",10.3389/fphys.2017.00444,https://www.ncbi.nlm.nih.gov/pubmed/28706490,intervention,humans,signed,ambiguous,mixed,44,27,14.7,12,10,1,2,8,6/29/17,2/26/19,607,no,no,no,no,no ,no 
"C. Alvarez, R. Ramirez-Campillo, R. Ramirez-Velez and M. Izquierdo",10.3389/fphys.2017.00479,https://www.ncbi.nlm.nih.gov/pubmed/28729841,intervention,humans,signed,ambiguous,significant,50,65,156.256,21,6,1,4,9,7/6/17,2/26/19,600,no,no,no,no,no ,no
"C. Bastos da Cunha, F. Sicuro, P. A. Maranhao, M. A. Borges, F. Z. Cyrino, F. M. Gazolla, I. R. Madeira, M. A. N. Bordallo, E. Bouskela and L. G. Kraemer-Aguiar",10.1210/js.2017-00130,https://www.ncbi.nlm.nih.gov/pubmed/29264541,observational,humans,kruskal,ambiguous,mixed,,,,,,,,0,6/9/17,2/26/19,627,yes,no,no,no,no ,no 
"C. Rossetti, D. Sciarra, J. M. Petit, C. B. Eap, O. Halfon, P. J. Magistretti, B. Boutrel and J. R. Cardinaux",10.1038/s41398-017-0023-4,https://www.ncbi.nlm.nih.gov/pubmed/29217834,observational,rodents,whitney,nolink,mixed,17,1,0.25,1,,,,1,12/8/17,2/26/19,445,no,no,no,no,no ,no
"D. Arriscado, E. Knox, M. Zabala, F. Zurita-Ortega, J. M. Dalmau and J. J. Muros",10.1007/s10389-017-0823-2,https://www.ncbi.nlm.nih.gov/pubmed/29177127,observational,humans,whitney,nolink,significant,25,2,0.5,2,,,,2,8/14/17,2/26/19,561,no,no,no,no,no ,no
"D. Herzig, P. Eser, T. Radtke, A. Wenger, T. Rusterholz, M. Wilhelm, P. Achermann, A. Arhab, O. G. Jenni, T. H. Kakebeeke, C. S. Leeger-Aschmann, N. Messerli-Burgy, A. H. Meyer, S. Munsch, J. J. Puder, E. A. Schmutz, K. Stulb, A. E. Zysset and S. Kriemler",10.3389/fphys.2017.00109,https://www.ncbi.nlm.nih.gov/pubmed/28286485,observational,humans,kruskal,ambiguous,mixed,40,9,5.35,5,3,1,,5,2/24/17,2/26/19,732,yes ,no ,no ,no ,request,no
"I. Schlecht, W. Gronwald, G. Behrens, S. E. Baumeister, J. Hertel, J. Hochrein, H. U. Zacharias, B. Fischer, P. J. Oefner and M. F. Leitzmann",10.1371/journal.pone.0175133,https://www.ncbi.nlm.nih.gov/pubmed/28403191,observational,humans,kruskal,ambiguous,mixed,25,3,0.5,2,,,,7,4/12/17,2/26/19,685,no,no,no,no,request,no
"J. Kocot, P. Dziemidok, M. Kielczykowska, A. Hordyjewska, G. Szczesniak and I. Musik",10.12659/MSM.904318,https://www.ncbi.nlm.nih.gov/pubmed/29049270,observational,humans,kruskal,error,significant,,,,,,,,3,10/19/17,2/26/19,495,no,no,no,no,no ,no
"J. Kocot, P. Dziemidok, M. Kielczykowska, J. Kurzepa, G. Szczesniak and I. Musik",10.3390/ijerph15010019,https://www.ncbi.nlm.nih.gov/pubmed/29295491,observational,humans,kruskal,error,not,5,1,0.5,1,,,,3,12/23/17,2/26/19,430,no,no,no,no,no ,no
"J. L. Hollis, S. R. Crozier, H. M. Inskip, C. Cooper, K. M. Godfrey, N. C. Harvey, C. E. Collins and S. M. Robinson",10.1038/ijo.2017.78,https://www.ncbi.nlm.nih.gov/pubmed/28337028,observational,humans,whitney,nolink,mixed,30,14,29.5,,3,,6,8,3/24/17,2/26/19,704,no,no,no,no,request,no
"K. A. Lytle, C. P. Wong and D. B. Jump",10.1371/journal.pone.0173376,https://www.ncbi.nlm.nih.gov/pubmed/28422962,intervention,rodents,nonparametric,error,mixed,28,28,125.55,4,3,1,2,13,4/19/17,2/26/19,678,no,no,no,no,yes,no
"K. A. Philbrick, C. P. Wong, A. J. Branscum, R. T. Turner and U. T. Iwaniec",10.1530/JOE-16-0484,https://www.ncbi.nlm.nih.gov/pubmed/28057869,intervention,rodents,kruskal,correct,significant,15,3,1.5,2,,1,,13,1/5/17,2/26/19,782,no,no,no,no,no ,no
"K. E. Boyle, Z. W. Patinkin, A. L. B. Shapiro, C. Bader, L. Vanderlinden, K. Kechris, R. C. Janssen, R. J. Ford, B. K. Smith, G. R. Steinberg, E. J. Davidson, I. V. Yang, D. Dabelea and J. E. Friedman",10.1016/j.molmet.2017.08.012,https://www.ncbi.nlm.nih.gov/pubmed/29107296,observational,humans,whitney,ambiguous,mixed,35,12,7.2,7,4,,1,5,9/1/17,2/26/19,543,yes,no,no ,no,yes,no
"L. B. VanWagner, J. G. Terry, L. S. Chow, A. C. Alman, H. Kang, K. H. Ingram, C. Shay, C. E. Lewis, R. N. Bryan, L. J. Launer and J. Jeffrey Carr",10.1002/oby.21767,https://www.ncbi.nlm.nih.gov/pubmed/28169509,observational,humans,whitney,ambiguous,significant,23,8,4.7,4,2,,1,3,2/7/17,2/26/19,749,no,no,no,no,no ,no
"L. D. Clamp, D. J. Hume, E. V. Lambert and J. Kroff",10.1038/nutd.2017.31,https://www.ncbi.nlm.nih.gov/pubmed/28628125,intervention,humans,kruskal,nolink,mixed,33,9,13.25,4,,,1,2,6/19/17,2/26/19,617,no,no,no,no,no ,no
