date_published,date_extracted,date_difference
3/31/2017,12/9/2020,1349
6/27/2017,12/9/2020,1261
5/18/2017,12/9/2020,1301
1/9/2017,12/9/2020,1430
6/9/2017,12/9/2020,1279
4/11/2017,12/9/2020,1338
5/1/2017,12/9/2020,1318
6/29/2017,12/9/2020,1259
7/6/2017,12/9/2020,1252
6/9/2017,12/9/2020,1279
12/8/2017,12/9/2020,1097
8/14/2017,12/9/2020,1213
2/24/2017,12/9/2020,1384
4/12/2017,12/9/2020,1337
10/19/2017,12/9/2020,1147
12/23/2017,12/9/2020,1082
3/24/2017,12/9/2020,1356
4/19/2017,12/9/2020,1330
1/5/2017,12/9/2020,1434
9/1/2017,12/9/2020,1195
2/7/2017,12/9/2020,1401
6/19/2017,12/9/2020,1269
8/24/2017,12/9/2020,1203
7/15/2017,12/9/2020,1243
7/21/2017,12/9/2020,1237
8/8/2017,12/9/2020,1219
6/15/2017,12/9/2020,1273
8/4/2017,12/9/2020,1223
3/14/2017,12/9/2020,1366
10/13/2017,12/9/2020,1153
10/10/2017,12/9/2020,1156
6/9/2017,12/9/2020,1279
1/5/2017,12/9/2020,1434
3/18/2017,12/9/2020,1362
10/2/2017,12/9/2020,1164
4/15/2017,12/9/2020,1334
10/16/2017,12/9/2020,1150
12/28/2017,12/9/2020,1077
